material,N_actual,N_label,noise_tier,noise_std,pinn_rpe_mean,pinn_rpe_median,pinn_rpe_std,pinn_outliers,wnlls_rpe_mean,wnlls_rpe_median,wnlls_rpe_std,wnlls_failures,wnlls_outliers,gp_rpe_mean,gp_rpe_median,gp_rpe_std,gp_outliers,pval_wnlls_vs_pinn,excl_wnlls_vs_pinn,pval_gp_vs_pinn,excl_gp_vs_pinn,pval_wnlls_vs_gp,excl_wnlls_vs_gp
Aluminum,5,5,0,0.0,0.03926073395001864,0.03902632700889764,0.002361673553419432,0,0.10300556449120594,0.10300556449120597,2.7755575615628914e-17,0,0,0.8631241635410016,0.8631241635410014,2.220446049250313e-16,0,0.999999135525782,0,0.999999135525782,0,2.160231528913744e-08,0
Aluminum,5,5,1,0.0316,3.3538300467258604,2.601840043394947,2.4932448897541075,0,3.442572838615249,2.9347024918698095,2.5221239054398445,0,0,3.304196112865556,2.5991204202219143,2.2966471916669673,0,0.467699334025383,0,0.45964826364070177,0,0.7219433626160026,0
Aluminum,5,5,2,0.1,11.040956290824509,8.325842928608452,8.920742134049016,0,10.80909483244138,10.875298728003035,8.218137641653792,0,0,11.160315916967663,8.252208371452394,8.89833278166246,0,0.39607954677194357,0,0.5161632113158703,0,0.23227252252399921,0
Aluminum,5,5,3,0.3162,38.027392356418794,31.169246491532036,25.68960850279118,0,31.916872165238342,27.82019880353983,22.774425452601264,0,0,39.1066684392451,37.35421385195891,27.440571430982683,0,0.0033197682350873947,0,0.4435974042862654,0,0.07897383719682693,0
Aluminum,5,5,4,0.5623,175.13033643262557,66.25151276306583,356.74153704476527,3,50.158346282327955,40.714085859565316,35.94316006580502,1,0,297.6214002315626,59.759135031449986,728.894618890384,3,0.02156027965247631,1,0.6039204532280564,0,0.019315840676426888,1
Aluminum,13,ALL,0,0.0,0.322080343121438,0.3219214796494935,0.036010825987532004,0,0.5562179699944906,0.5562179699944906,0.0,0,0,0.02733375263238488,0.027333752632384873,6.938893903907228e-18,0,1.0,0,9.313225746154785e-10,0,0.9999999783976847,0
Aluminum,13,ALL,1,0.0316,2.8840000634592236,2.1614041918080646,2.3175644980891104,0,2.4351164053030527,2.4337258674212787,1.7307946021777558,0,0,2.2721225571020054,1.9032836231714216,1.8198730062305655,0,0.1853703036904335,0,0.08859635517001152,0,0.7150712013244629,0
Aluminum,13,ALL,2,0.1,7.848105270793257,6.15962082559466,6.68441951997087,0,6.532001591188061,5.688942308198357,5.120447390600269,0,0,6.366205088229539,4.485198226654615,5.52585122826475,0,0.17460568994283676,0,0.09198454674333334,0,0.532300665974617,0
Aluminum,13,ALL,3,0.3162,25.80401965090903,21.345332131820005,25.98211971392061,0,19.387103450132333,16.283380050499527,13.092305878557063,0,0,31.429571360786415,19.00103771053066,28.94609861230354,0,0.10646642651408911,0,0.9114036448299885,0,0.0025063063949346542,0
Aluminum,13,ALL,4,0.5623,160.49726483201738,98.52177788881629,239.36201089718165,5,45.52124188811754,36.847332032334826,33.78328477443735,1,0,203.70499811991297,88.60468875912264,409.15128012418495,4,0.00033438391983509064,1,0.6868268558755517,0,0.0009081698954105377,1
