material,N_actual,N_label,noise_tier,noise_std,true_mu_wols,true_mu_stderr,nist_mu_mm,mu_discrepancy_pct,pinn_rpe_mean,pinn_rpe_median,pinn_rpe_std,pinn_rpe_ci_lo,pinn_rpe_ci_hi,pinn_outliers,wnlls_rpe_mean,wnlls_rpe_median,wnlls_rpe_std,wnlls_rpe_ci_lo,wnlls_rpe_ci_hi,wnlls_failures,wnlls_outliers,gp_rpe_mean,gp_rpe_median,gp_rpe_std,gp_rpe_ci_lo,gp_rpe_ci_hi,gp_outliers,pval_wnlls_vs_pinn_penalty,pval_gp_vs_pinn_penalty,pval_wnlls_vs_gp_penalty,n_penalty_wnlls_vs_pinn,pval_wnlls_vs_pinn_conditional,pval_gp_vs_pinn_conditional,pval_wnlls_vs_gp_conditional,qval_wnlls_vs_pinn_penalty,qval_gp_vs_pinn_penalty,qval_wnlls_vs_gp_penalty
Aluminum,5,5,0,0.0,0.016859746645837545,9.004573992669051e-05,0.020196000000000002,-16.51937687741363,0.4767657862219859,0.4727009016601357,0.02045996834227985,0.47057970804931326,0.47369521116520863,0,0.6555770968657613,0.655577096865761,2.220446049250313e-16,0.655577096865761,0.655577096865761,0,0,1.4114911574758602,1.4114911401695254,9.046527475949861e-08,1.4114911401695254,1.4114911401695254,0,0.9999991333466779,1.0,3.02480667465861e-07,0,0.9999991333466779,1.0,3.02480667465861e-07,0.9999991333466779,1.0,3.7810083433232627e-06
Aluminum,5,5,1,0.0316,0.016859746645837545,9.004573992669051e-05,0.020196000000000002,-16.51937687741363,4.218641680212915,4.180933370289522,2.6224854844581986,2.991545864262915,4.86314569354518,0,3.749073042507196,3.441346412698163,2.110454036027792,2.6450031338400475,4.887740363021292,0,0,3.9404511616368847,3.4609316807850794,2.0668729981510285,2.920011711275617,4.10664924397358,0,0.08209204114973545,0.21397730335593224,0.2579242214560509,0,0.08209204114973545,0.21397730335593224,0.2579242214560509,0.2565376285929233,0.42795460671186447,0.7535110253633724
Aluminum,5,5,2,0.1,0.016859746645837545,9.004573992669051e-05,0.020196000000000002,-16.51937687741363,11.071656480780463,11.066262182725321,9.26240675855846,4.254447229251467,14.057862647398439,0,10.051824017825423,6.844527349265624,8.643378640878916,4.547463839803426,12.124055876284235,0,0,10.716201950466932,7.793337723954396,9.215652689389714,4.628806708637808,12.15836735938991,0,0.2918785363435745,0.5161632113158703,0.10646642651408911,0,0.2918785363435745,0.5161632113158703,0.10646642651408911,0.7296963408589363,0.7590635460527504,0.40948625582341963
Aluminum,5,5,3,0.3162,0.016859746645837545,9.004573992669051e-05,0.020196000000000002,-16.51937687741363,31.82551110652936,23.47881199435753,25.776779183169264,17.026037353357186,35.01467433301964,0,26.99715038579105,24.98930307843908,23.76214111558386,8.683914764980557,34.290454664611815,0,0,38.217226335245364,25.77714269769725,33.5212541330625,18.141152231586805,45.453567706689206,0,0.054716029204428196,0.9579672608524561,0.00496575515717268,0,0.054716029204428196,0.9579672608524561,0.00496575515717268,0.19541439001581495,1.0,0.02257161435078491
Aluminum,5,5,4,0.5623,0.016859746645837545,9.004573992669051e-05,0.020196000000000002,-16.51937687741363,55.791137371941836,28.111792248310145,54.744243046473365,17.63603951778872,67.83458274922322,0,68.22907010762232,42.54074044382382,66.95575153456375,29.05104595953239,83.96074487295192,4,2,67.87196743319777,75.23515296634844,39.76032433576017,47.608137648712315,99.66326905178695,0,0.9711560355499387,0.8857235889881849,0.830629107542336,4,0.809903085231781,0.8857235889881849,0.4014003723859787,0.9999991333466779,1.0,0.9999991517236909
Aluminum,13,ALL,0,0.0,0.016859746645837545,9.004573992669051e-05,0.020196000000000002,-16.51937687741363,0.37428046422021527,0.36911594699831024,0.046088582376808816,0.35537238006152366,0.3960672585274829,0,0.0,0.0,0.0,0.0,0.0,0,0,0.5803239192399177,0.5803238273069937,2.518930868991915e-07,0.5803238133140265,0.5803238811830156,0,9.313225746154785e-10,1.0,7.224196859114927e-07,0,9.313225746154785e-10,1.0,7.224196859114927e-07,9.313225746154785e-09,1.0,4.8147406783308504e-06
Aluminum,13,ALL,1,0.0316,0.016859746645837545,9.004573992669051e-05,0.020196000000000002,-16.51937687741363,3.2565428741572213,2.5088755258570643,2.055383636635563,2.0643031743138494,4.344043681648305,0,2.2937798880637152,2.160070618120971,1.557342376431923,1.5807185302991869,2.9403901150057963,0,0,2.2480419351114023,2.1523544619879837,1.5263127186623662,1.4544220978210936,2.781043493028443,0,0.009830407798290253,0.009264740161597729,0.6868268558755517,0,0.009830407798290253,0.009264740161597729,0.6868268558755517,0.04096003249287605,0.046323700807988644,0.9999991517236909
Aluminum,13,ALL,2,0.1,0.016859746645837545,9.004573992669051e-05,0.020196000000000002,-16.51937687741363,12.49805815225553,10.936603584257057,7.327048801726755,8.12720353443338,14.350938774996292,0,6.185279871083192,4.646431436380563,5.325532204394738,2.5380183384605646,7.941195374530231,0,0,6.489072929204989,4.464825821932777,5.248009875552842,2.8714078349195438,8.155594291501894,0,1.183338463306427e-05,5.529075860977173e-05,0.2645525922998786,0,1.183338463306427e-05,5.529075860977173e-05,0.2645525922998786,6.574102573924595e-05,0.00039493399006979805,0.7535110253633724
Aluminum,13,ALL,3,0.3162,0.016859746645837545,9.004573992669051e-05,0.020196000000000002,-16.51937687741363,34.87090578246231,27.743135427479253,24.6878866396069,16.969807872831822,50.243625482042184,0,24.67955831959266,23.34568791167401,18.444256293120198,10.806505522765253,34.868237947653455,0,0,26.105576062140326,23.40506290287494,17.797137478549047,12.99004489641705,34.21820140555842,0,0.036622037179768085,0.07594345975667238,0.1853703036904335,0,0.036622037179768085,0.07594345975667238,0.1853703036904335,0.14085398915295416,0.21095405487964553,0.617901012301445
Aluminum,13,ALL,4,0.5623,0.016859746645837545,9.004573992669051e-05,0.020196000000000002,-16.51937687741363,49.978475075358226,44.37208847803036,37.15177012829113,24.0433981421698,65.03634988296858,0,50.45219450836981,46.447670185138335,38.27633406343912,26.28505799616145,62.56261405928541,0,0,47.750349862563006,47.64332639589929,29.568470964289357,34.80785389593352,60.91330454641326,0,0.6348290015012026,0.5882115280255675,0.5242367628961802,0,0.6348290015012026,0.5882115280255675,0.5242367628961802,0.9999991333466779,0.794880443277794,0.9999991517236909
