epoch,log_mu,mu,grad_log_mu,data_loss,phys_loss,lambda_phys
0,-9.21034049987793,9.99999901978299e-05,6.756883408343128e-07,0.9249346256256104,0.001213465933687985,0.1
25,-9.236722946166992,9.739623783389106e-05,3.353974761921563e-06,0.8155900835990906,0.01182904839515686,0.1816666666666667
50,-9.266119003295898,9.457484702579677e-05,5.335621153790271e-06,0.7576795220375061,0.0346108041703701,0.26333333333333336
75,-9.29909610748291,9.150690311798826e-05,7.492653821827844e-06,0.7410575747489929,0.045060090720653534,0.345
100,-9.33447551727295,8.832605089992285e-05,9.35360094445059e-06,0.7267639636993408,0.04703546315431595,0.42666666666666675
125,-9.370818138122559,8.517367677995935e-05,1.1213448487978894e-05,0.7109139561653137,0.05271458625793457,0.5083333333333333
150,-9.407548904418945,8.210194937419146e-05,1.25311180454446e-05,0.6928675174713135,0.05741237848997116,0.59
175,-9.443706512451172,7.918635674286634e-05,1.3382232282310724e-05,0.6625634431838989,0.0649377629160881,0.6716666666666667
200,-9.478676795959473,7.646504673175514e-05,1.3573576325143222e-05,0.6029196977615356,0.08362746238708496,0.7533333333333334
225,-9.511280059814453,7.401224138448015e-05,1.1997693036391865e-05,0.5039623975753784,0.13846011459827423,0.835
250,-9.539382934570312,7.196123624453321e-05,1.118621639761841e-05,0.4697655439376831,0.16839134693145752,0.9166666666666666
275,-9.566655158996582,7.002521306276321e-05,1.2611091733560897e-05,0.4927617907524109,0.14236411452293396,0.9983333333333333
300,-9.595556259155273,6.803037103964016e-05,1.3314581337908749e-05,0.5046974420547485,0.13023756444454193,1.08
325,-9.625370979309082,6.603200745303184e-05,1.4061544789001346e-05,0.5170334577560425,0.11867012083530426,1.1616666666666668
350,-9.655806541442871,6.40525613562204e-05,1.4711029507452622e-05,0.5283074378967285,0.10886064916849136,1.2433333333333336
375,-9.686583518981934,6.211124127730727e-05,1.52726915985113e-05,0.5386195182800293,0.10050275176763535,1.3250000000000002
400,-9.71747875213623,6.022164598107338e-05,1.5755402273498476e-05,0.5481886863708496,0.09322956949472427,1.406666666666667
425,-9.748319625854492,5.839270306751132e-05,1.6163450709427707e-05,0.5570970177650452,0.08684201538562775,1.4883333333333335
450,-9.778966903686523,5.663027332047932e-05,1.6510522982571274e-05,0.5654059648513794,0.08120036125183105,1.57
475,-9.809329986572266,5.493664139066823e-05,1.680773129919544e-05,0.5731752514839172,0.0761929303407669,1.6516666666666668
500,-9.839346885681152,5.331212014425546e-05,1.7062337064999156e-05,0.5804643034934998,0.07172662764787674,1.7333333333333334
525,-9.868973731994629,5.1755818276433274e-05,1.7280039173783734e-05,0.5873384475708008,0.06771740317344666,1.8150000000000002
550,-9.898183822631836,5.026589133194648e-05,1.746562702464871e-05,0.5938630700111389,0.0640905499458313,1.8966666666666667
575,-9.926958084106445,4.884013833361678e-05,1.762281135597732e-05,0.6000896692276001,0.06078587472438812,1.9783333333333335
600,-9.955276489257812,4.747646380565129e-05,1.775476812326815e-05,0.6060506105422974,0.057758402079343796,2.06
625,-9.983133316040039,4.617216836777516e-05,1.7864222172647715e-05,0.6117630004882812,0.05497496575117111,2.1416666666666666
650,-10.010519981384277,4.492482912610285e-05,1.795377829694189e-05,0.6172356009483337,0.052410274744033813,2.2233333333333336
675,-10.037432670593262,4.373190313344821e-05,1.802564293029718e-05,0.6224750876426697,0.05004330724477768,2.3050000000000006
700,-10.063868522644043,4.259096021996811e-05,1.80817223736085e-05,0.6274892687797546,0.047855593264102936,2.386666666666667
725,-10.089827537536621,4.1499566577840596e-05,1.8123544577974826e-05,0.6322874426841736,0.04583033174276352,2.4683333333333337
750,-10.115313529968262,4.04552738473285e-05,1.8152455595554784e-05,0.6368802189826965,0.04395243898034096,2.5500000000000003
775,-10.140323638916016,3.9456033846363425e-05,1.8170081602875143e-05,0.6412783861160278,0.04220891371369362,2.6316666666666673
800,-10.164860725402832,3.849967470159754e-05,1.817837437556591e-05,0.6454906463623047,0.040589381009340286,2.713333333333334
825,-10.18892765045166,3.758416642085649e-05,1.8179927792516537e-05,0.6495259404182434,0.039085689932107925,2.7950000000000004
850,-10.212530136108398,3.670747537398711e-05,1.817763586586807e-05,0.6533963084220886,0.03768988326191902,2.876666666666667
875,-10.235677719116211,3.586754246498458e-05,1.8173108401242644e-05,0.6571230292320251,0.03639041259884834,2.9583333333333335
900,-10.258376121520996,3.5062581446254626e-05,1.8165808796766214e-05,0.6607317328453064,0.03517253324389458,3.04
925,-10.280631065368652,3.429088246775791e-05,1.815411087591201e-05,0.6642391681671143,0.034023966640233994,3.1216666666666666
950,-10.302446365356445,3.3550917578395456e-05,1.81369196070591e-05,0.6676530838012695,0.032936614006757736,3.2033333333333336
975,-10.323824882507324,3.284126069047488e-05,1.8114089471055195e-05,0.6709740161895752,0.03190600126981735,3.285
1000,-10.344765663146973,3.216068944311701e-05,1.80863389687147e-05,0.6742024421691895,0.030928825959563255,3.3666666666666667
1025,-10.36527156829834,3.150791962980293e-05,1.805459578463342e-05,0.6773394346237183,0.030002010986208916,3.4483333333333333
1050,-10.385344505310059,3.088176890742034e-05,1.80198039743118e-05,0.6803876161575317,0.029122473672032356,3.5300000000000002
1075,-10.404988288879395,3.0281054932856932e-05,1.7982798453886062e-05,0.6833500266075134,0.028287209570407867,3.611666666666667
1100,-10.424205780029297,2.9704686312470585e-05,1.794422132661566e-05,0.686230480670929,0.027493147179484367,3.6933333333333334
