epoch,log_mu,mu,grad_log_mu,data_loss,phys_loss,lambda_phys
0,-2.719209671020508,0.06592684239149094,0.0008509097970090806,0.968352198600769,0.004166133236140013,0.1
25,-2.73988676071167,0.06457765400409698,-0.00025098671903833747,0.3243728280067444,0.0008896109065972269,0.1816666666666667
50,-2.737783432006836,0.06471362709999084,5.5883629102027044e-05,0.19687971472740173,0.0017958886455744505,0.26333333333333336
75,-2.742701768875122,0.06439612805843353,0.00018092313257511705,0.10249059647321701,0.005249107722193003,0.345
100,-2.7682647705078125,0.06277083605527878,0.0005444650887511671,0.035645492374897,0.011189867742359638,0.42666666666666675
125,-2.810028076171875,0.06020330265164375,0.0006562779890373349,0.012681874446570873,0.016232376918196678,0.5083333333333333
150,-2.8481385707855225,0.057952094823122025,0.0005311386194080114,0.004724799655377865,0.01768234372138977,0.59
175,-2.878124475479126,0.05624014511704445,0.0004344700719229877,0.00207334291189909,0.018768036738038063,0.6716666666666667
200,-2.9022269248962402,0.05490082502365112,0.0003298644151072949,0.0013176006032153964,0.018925417214632034,0.7533333333333334
225,-2.9209511280059814,0.0538824163377285,0.0002381630038144067,0.0011453620390966535,0.01868700049817562,0.835
250,-2.9349002838134766,0.05313601717352867,0.00015890640497673303,0.0012149347458034754,0.0182535108178854,0.9166666666666666
275,-2.9445507526397705,0.05262569710612297,9.400265844305977e-05,0.0013863395433872938,0.017779452726244926,0.9983333333333333
300,-2.9504480361938477,0.05231625959277153,4.382053157314658e-05,0.0015948232030496001,0.01734570413827896,1.08
325,-2.953251600265503,0.0521697960793972,8.481136319460347e-06,0.001799320220015943,0.016989415511488914,1.1616666666666668
350,-2.9537322521209717,0.05214472487568855,-1.3268414477352053e-05,0.00198691850528121,0.016708331182599068,1.2433333333333336
375,-2.9526941776275635,0.05219888314604759,-2.3811866412870586e-05,0.00216251565143466,0.01648310385644436,1.3250000000000002
400,-2.9508633613586426,0.0522945374250412,-2.632418727444019e-05,0.0023356638848781586,0.016293717548251152,1.406666666666667
425,-2.9488017559051514,0.05240245908498764,-2.4100751033984125e-05,0.0025127639528363943,0.016125982627272606,1.4883333333333335
450,-2.9468653202056885,0.0525040328502655,-1.9907847672584467e-05,0.002697153016924858,0.015970716252923012,1.57
475,-2.945220470428467,0.05259046331048012,-1.5610070477123372e-05,0.002890612930059433,0.01582205295562744,1.6516666666666668
